link_id,dir,length,from_node,to_node,road_name,geometry,sorted_ft
429025,1,145.85,6331,222717,218县道,"LINESTRING (109.610477 35.43593400000001, 109.609024 35.435372999999984)","(6331, 222717)"
43503,0,263.94231888508193,118233,222717,史雷路,"LINESTRING (109.606395 35.434357, 109.609024 35.435372999999984)","(118233, 222717)"
358037,0,145.84998910618472,222717,6331,史雷路,"LINESTRING (109.609024 35.435372999999984, 109.610477 35.43593400000001)","(6331, 222717)"
