link_id,dir,length,from_node,to_node,road_name,geometry
50542,1,379.03609131407495,191714,19893,西三环入口,"LINESTRING (108.84048418194278 34.208751404812496, 108.8410333043887 34.20538952458989)"
50545,1,112.13091855236392,170508,63637,西三环入口,"LINESTRING (108.841425074665 34.203330912749905, 108.8415703783543 34.20233450491169)"
91646,1,120.66678438464807,177594,169462,西太公路,"LINESTRING (108.84176365682967 34.202564765029564, 108.84160833213731 34.20363712972413)"
117776,1,91.19828295747126,22765,4290,科技八路,"LINESTRING (108.8396462868452 34.20358068920947, 108.84059274796762 34.20380728755708)"
117777,1,142.87820853910145,4290,92706,科技八路,"LINESTRING (108.84059274796762 34.20380728755708, 108.84207500541686 34.2041637658475)"
225724,1,126.28083267088375,92706,34152,科技八路,"LINESTRING (108.84207500541686 34.2041637658475, 108.84337595161946 34.20450390550994)"
353809,1,309.67691138504597,198856,29974,科技八路辅路,"LINESTRING (108.84627615033686 34.205495498912406, 108.84304743483109 34.20477124733548)"
353810,1,123.3035059530251,29974,82793,科技八路辅路,"LINESTRING (108.84304743483109 34.20477124733548, 108.84178453991281 34.204420171642816)"
50543,1,232.85455099988496,19893,170508,西三环入口,"LINESTRING (108.8410333043887 34.20538952458989, 108.84113550636526 34.204842890573545, 108.841425074665 34.203330912749905)"
60333,1,131.4309028807508,19893,181808,丈八立交,"LINESTRING (108.8410333043887 34.20538952458989, 108.84097922452833 34.2053414459058, 108.8409571929787 34.20530941808315, 108.84094718092301 34.205266415141416, 108.84093116775695 34.205121436415766, 108.84088210545373 34.20495040838689, 108.84082903440334 34.20481036268511, 108.84074291369149 34.204649265874245, 108.84062975122784 34.20448312297699, 108.84049555540867 34.20432194107051)"
60342,1,114.48538253735046,181808,124862,丈八立交,"LINESTRING (108.84049555540867 34.20432194107051, 108.84036636411828 34.20419775516095, 108.84024318008004 34.20409657182006, 108.84004387862637 34.203972261359624, 108.83952308374874 34.20369843029777)"
72528,1,144.36036738257178,44441,68869,科技八路,"LINESTRING (108.8435151462407 34.204686083275455, 108.84276803395724 34.20449685714005, 108.842021912175 34.20431362229388)"
72530,1,241.3197789938962,68869,124862,科技八路,"LINESTRING (108.842021912175 34.20431362229388, 108.84045752847501 34.20392001061749, 108.83999080892261 34.20380622377766, 108.83952308374874 34.20369843029777)"
91647,1,219.39063574183973,169462,91199,西太公路,"LINESTRING (108.84160833213731 34.20363712972413, 108.84159129993026 34.20371207446149, 108.84158127801764 34.20379302941826, 108.84129068661863 34.20558291058989)"
91650,1,336.0190715143619,91199,199563,西太公路,"LINESTRING (108.84129068661863 34.20558291058989, 108.8412796652767 34.20563687282872, 108.8412686439326 34.205690835063145, 108.84115642068461 34.20631242560034, 108.84081270761097 34.208564048548254)"
117778,1,210.78940155290198,92706,145105,丈八立交,"LINESTRING (108.84207500541686 34.2041637658475, 108.84246760555624 34.204148454345315, 108.84259079504238 34.204121677386546, 108.84270897833433 34.204073898662514, 108.84278409570048 34.20403104344158, 108.84285420666204 34.203972184904536, 108.84290829376307 34.20390730060347, 108.84296138178485 34.20381142505641, 108.84298842958638 34.20372550103973, 108.84300445983821 34.203650554222975, 108.8430044667493 34.203564583429824, 108.84298844855175 34.20348958118876, 108.84295640699884 34.20340355495798, 108.84291334698771 34.20333950217767, 108.84283823977152 34.203258399651446, 108.84274109807303 34.203189254785585, 108.84262893217804 34.20313507862982, 108.84249973838324 34.20310286525956, 108.84239758378014 34.20309169152201)"
117796,1,101.5460738460177,145105,169462,丈八立交,"LINESTRING (108.84239758378014 34.20309169152201, 108.84226337833424 34.20310245441332, 108.84214018818257 34.20312823114287, 108.84201599437151 34.20317699810311, 108.84191984203596 34.20324080868778, 108.84186074674892 34.20329968553512, 108.84168846217199 34.20355129904852, 108.84166642567236 34.203584249318894, 108.84160833213731 34.20363712972413)"
142834,1,137.18845217195,44441,118381,丈八立交,"LINESTRING (108.8435151462407 34.204686083275455, 108.84286516861593 34.20465297225673, 108.84270392291693 34.20466868749383, 108.84255369259174 34.20469541771726, 108.8423543849143 34.204749053102546, 108.84220415103883 34.204807771645406, 108.84208596575294 34.20486654570958)"
142840,1,109.65984895830624,118381,91199,丈八立交,"LINESTRING (108.84208596575294 34.20486654570958, 108.84193572856508 34.20495725275265, 108.84187062536941 34.20500012448543, 108.84174241973271 34.205111862398475, 108.84152206339351 34.2053314019811, 108.84138183320681 34.205508095978935, 108.84129068661863 34.20558291058989)"
313011,1,185.4806240472876,170508,31762,丈八立交,"LINESTRING (108.841425074665 34.203330912749905, 108.84138201087228 34.20329884814687, 108.8413549721588 34.20326181330508, 108.84133394278078 34.20322378932678, 108.84130691144021 34.20309478566952, 108.84126886083386 34.20299375316963, 108.84121578539629 34.2029126874992, 108.84113566851988 34.20282657599954, 108.84107557946284 34.2027784867213, 108.84098444236022 34.20272934315392, 108.84090432074107 34.20269821275392, 108.84078013032108 34.202671003329115, 108.84065193124133 34.202670777488386, 108.84052272903759 34.202686544240095, 108.8404205674005 34.20271835309855, 108.84031840430188 34.20276615639653, 108.84024328324365 34.202814007367984, 108.84015714222738 34.20289482758925, 108.8401090614738 34.20296471879859, 108.84007099594207 34.20303962600771)"
